Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,Measure,Type,State Name,Region,Start Date,End Date,Response Rate (%)
07_2015,KS,H_COMP_5,15,17,68,Communication about Medicines,Composite Measure,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_COMP_7,4,40,56,Care Transition,Composite Measure,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_HSP_RATING,5,18,77,Overall Hospital Rating,Global Item,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_QUIET_HSP,6,27,67,Quietness of Hospital Environment,Individual Item,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_RECMND,3,21,76,Willingness to Recommend the Hospital,Global Item,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KY,H_CLEAN_HSP,8,16,76,Cleanliness of Hospital Environment,Individual Item,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_COMP_1,4,15,81,Communication with Nurses,Composite Measure,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_COMP_2,3,12,85,Communication with Doctors,Composite Measure,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_COMP_3,8,23,69,Responsiveness of Hospital Staff,Composite Measure,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_COMP_5,17,16,67,Communication about Medicines,Composite Measure,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_COMP_7,5,42,53,Care Transition,Composite Measure,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_HSP_RATING,7,21,72,Overall Hospital Rating,Global Item,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_QUIET_HSP,7,27,66,Quietness of Hospital Environment,Individual Item,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,KY,H_RECMND,5,24,71,Willingness to Recommend the Hospital,Global Item,Kentucky,East South Central,2013-10-01,2014-09-30,29.693181818181817
07_2015,LA,H_CLEAN_HSP,9,16,75,Cleanliness of Hospital Environment,Individual Item,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_COMP_1,4,12,84,Communication with Nurses,Composite Measure,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_COMP_2,3,10,87,Communication with Doctors,Composite Measure,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_COMP_3,9,18,73,Responsiveness of Hospital Staff,Composite Measure,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_COMP_5,16,15,69,Communication about Medicines,Composite Measure,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_COMP_6,14,0,86,Discharge Information,Composite Measure,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_COMP_7,5,37,58,Care Transition,Composite Measure,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
07_2015,LA,H_HSP_RATING,6,18,76,Overall Hospital Rating,Global Item,Louisiana,West South Central,2013-10-01,2014-09-30,28.83653846153846
